0	1	mikroCPIC1618.exe -MSF -DBG -pP18F4620 -DL -O11111114 -fo8 -N"E:\embedded_diploma\projects\pic\microwave\microwave.mcppi" -SP"E:\programmes\program_files\IDEs\mikroC PRO for PIC\defs\" -SP"E:\programmes\program_files\IDEs\mikroC PRO for PIC\uses\P18\" -SP"E:\embedded_diploma\projects\pic\microwave\" -SP"E:\embedded_diploma\projects\pic\microwave\inc\" -SP"E:\embedded_diploma\projects\pic\microwave\app\src\" -SP"E:\embedded_diploma\projects\pic\microwave\hal\src\" -SP"E:\embedded_diploma\projects\pic\microwave\hal\inc\" -SP"E:\embedded_diploma\projects\pic\microwave\app\inc\" -SP"E:\embedded_diploma\projects\pic\microwave\util\src\" -SP"E:\embedded_diploma\projects\pic\microwave\util\inc\" -SP"E:\embedded_diploma\projects\pic\microwave\mcal\src\" -SP"E:\embedded_diploma\projects\pic\microwave\mcal\inc\" -IP"E:\embedded_diploma\projects\pic\microwave\" -IP"E:\embedded_diploma\projects\pic\microwave\inc\" -IP"E:\embedded_diploma\projects\pic\microwave\hal\inc\" -IP"E:\embedded_diploma\projects\pic\microwave\app\inc\" -IP"E:\embedded_diploma\projects\pic\microwave\util\inc\" -IP"E:\embedded_diploma\projects\pic\microwave\mcal\inc\" "main.c" "segment7.c" "keypad4x3.c" "uwave_display.c" "uwave_util.c" "pwm.c" "uwave_motor.c" "timers.c" "uwave_sensors.c" "interrupt.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_MemManager.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_A_D.mcl" "__Lib_EEPROM_1024.mcl" "__Lib_FLASH_w64_e64.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_CFFat16.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_Mmc.mcl" "__Lib_MmcFat16.mcl" "__Lib_MmcFat16Constants.mcl" "__Lib_RS485.mcl" "__Lib_S1D13700.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "__Lib_TFT.mcl" "__Lib_TFT_Defs.mcl" "__Lib_TFT_16bit.mcl" "__Lib_TFT_16bit_Defs.mcl" "__Lib_TouchPanel_TFT.mcl" "__Lib_EthEnc24j600.mcl" "__Lib_TouchPanel.mcl"	 
warning: 0	1501	Specified search path does not exist: 'E:\embedded_diploma\projects\pic\microwave\inc'	 
warning: 0	1502	Specified include path does not exist: 'E:\embedded_diploma\projects\pic\microwave\inc'	 
hint: 0	1139	Available RAM: 3947 [bytes], Available ROM: 65536 [bytes]	 
diagnostics: 0	126	All files Preprocessed in 984 ms	 
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 18	123	Compiled Successfully	main.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 65	123	Compiled Successfully	segment7.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 100	123	Compiled Successfully	keypad4x3.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 63	123	Compiled Successfully	uwave_display.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 38	123	Compiled Successfully	uwave_util.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 19	123	Compiled Successfully	pwm.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 40	123	Compiled Successfully	pwm.h
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 100	123	Compiled Successfully	timers.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 32	123	Compiled Successfully	uwave_sensors.c
diagnostics: 0	122	Compilation Started	data_types.h
diagnostics: 29	123	Compiled Successfully	interrupt.c
diagnostics: 0	127	All files Compiled in 1125 ms	 
hint: 0	1144	Used RAM (bytes): 60 (2%)  Free RAM (bytes): 3887 (98%)	Used RAM (bytes): 60 (2%)  Free RAM (bytes): 3887 (98%)
hint: 0	1144	Used ROM (bytes): 4266 (7%)  Free ROM (bytes): 61270 (93%)	Used ROM (bytes): 4266 (7%)  Free ROM (bytes): 61270 (93%)
diagnostics: 0	125	Project Linked Successfully	microwave.mcppi
diagnostics: 0	128	Linked in 219 ms	 
diagnostics: 0	129	Project 'microwave.mcppi' completed: 2438 ms	 
diagnostics: 0	103	Finished successfully: 03 Mar 2020, 16:05:16	microwave.mcppi
